UniproId	MSA_mean	MSA_mean_wo_gaps	motifMean	motifScore	motifPercent%	motifPercent_wogaps%	motifPercent_wogaps2%
Q6UWI2	0.8358829902491872	0.7053264210671193	0.9154929577464789	[0.9295774647887324, 0.9154929577464788, 'X', 0.9014084507042254]	48.15384615384615	5.211726384364821	2.4615384615384617
O00445	0.91575808405554	0.8974833456698742	0.8835978835978836	[0.873015873015873, 0.8888888888888888, 'X', 0.8888888888888888]	82.38747553816047	76.68393782383419	57.925636007827784
Q14571	0.8921332723417208	0.8362972282199064	0.7684478371501271	[0.8473282442748091, 0.816793893129771, 'X', 0.6412213740458015]	85.00779683671196	75.98366740905716	45.60035642682112
P18433	0.8969990503323836	0.8399962061933892	0.9407407407407407	[0.9481481481481482, 0.9629629629629628, 'X', 0.9111111111111112]	67.11538461538461	47.88732394366197	23.974358974358974
O94933	0.8652156862745098	0.8489484752891694	0.9611111111111112	[0.9583333333333334, 0.9666666666666668, 'X', 0.9583333333333334]	51.6078431372549	43.63827549947424	32.549019607843135
A0AVI4	0.8275712382855239	0.6334705152779343	0.79421768707483	[0.9948979591836736, 0.6428571428571429, 'X', 0.7448979591836735]	65.85081585081585	24.585635359116022	10.372960372960373
Q8WWQ8	0.785294742593492	0.6702227722772277	0.7421875	[0.734375, 0.7578125, 'X', 0.734375]	62.79747450218552	40.633663366336634	24.91500728508985
P18564	0.835893716212865	0.77623270726719	0.8717948717948718	[0.965034965034965, 0.965034965034965, 'X', 0.6853146853146853]	61.96808510638297	46.99872286079182	32.62411347517731
Q86SS6	0.8386488131466828	0.7883242659258402	0.940251572327044	[0.8679245283018868, 0.981132075471698, 'X', 0.9716981132075472]	43.225806451612904	30.470347648261757	19.225806451612904
Q96QU1	0.7790256852240378	0.5931616230659292	0.7819548872180451	[0.7819548872180451, 0.7819548872180451, 'X', 0.7819548872180451]	58.05463364820015	20.316804407713498	7.531273934133265
Q9BYH1	0.8264442497841583	0.804079327358561	0.9221183800623054	[0.9252336448598132, 0.9252336448598132, 'X', 0.9158878504672896]	56.64194200944033	48.004561003420754	28.388401888064735
Q96KK3	0.836820820820821	0.7590936819172114	0.9253333333333332	[0.92, 0.9279999999999999, 'X', 0.9279999999999999]	56.35635635635635	35.5119825708061	16.316316316316314
Q9NZR2	0.8379592203359383	0.8291594076655052	0.8611111111111112	[0.8611111111111112, 0.8611111111111112, 'X', 0.8611111111111112]	52.93047696038804	49.45557491289199	45.89733225545675
Q9NZR2	0.8379592203359383	0.8291594076655052	0.8240740740740741	[0.8333333333333334, 0.8055555555555556, 'X', 0.8333333333333334]	66.0266774454325	63.545296167247386	58.973322554567496
A1KXE4	0.9425972195528219	0.9227191413237924	0.9948320413436692	[1.0, 0.992248062015504, 'X', 0.992248062015504]	12.121212121212121	22.564102564102566	12.121212121212121
G3V0H7	0.7452225334578275	0.7334177393261588	0.8571428571428572	[1.0, 0.6190476190476191, 'X', 0.9523809523809524]	35.55555555555556	31.90546528803545	28.235294117647058
Q6XYQ8	0.8866722169118025	0.8452330986024966	0.978319783197832	[0.9837398373983741, 0.9837398373983741, 'X', 0.9674796747967479]	48.54614412136536	33.269598470363285	21.997471554993677
Q96KG7	0.8935885721247564	0.8057671489026671	0.8814814814814814	[0.8740740740740741, 0.8962962962962963, 'X', 0.8740740740740741]	74.30098684210526	46.6784765279008	21.669407894736842
Q9BT88	0.8379451018034815	0.7510809040288242	0.6126760563380281	[0.34507042253521125, 0.7464788732394366, 'X', 0.7464788732394366]	84.79685452162516	73.25581395348837	41.284403669724774
Q7Z408	0.8548579328332019	0.8226570411263189	0.9476584022038569	[0.950413223140496, 0.950413223140496, 'X', 0.9421487603305784]	48.60961414097866	37.29531338226991	28.475964647553354
Q9UM73	0.7596727435386994	0.6947115026308336	0.9563862928348908	[0.9532710280373832, 0.9532710280373832, 'X', 0.9626168224299064]	25.977347460723422	15.311004784688995	7.014979905005481
Q9UM73	0.7596727435386994	0.6947115026308336	0.6635514018691588	[0.6635514018691588, 0.6728971962616822, 'X', 0.6542056074766355]	64.81549141395688	51.59489633173844	23.639020825721595
Q16288	0.8723257418909593	0.8541732783243415	0.9884057971014494	[0.982608695652174, 0.991304347826087, 'X', 0.991304347826087]	21.84873949579832	13.017031630170317	9.990662931839402
Q07954	0.8806476522510329	0.8106665054803353	0.8964646464646465	[0.9393939393939394, 0.9166666666666666, 'X', 0.8333333333333334]	62.84849249400782	36.65780141843972	20.86539674530087
Q07954	0.8806476522510329	0.8106665054803353	0.9065656565656566	[0.9090909090909092, 0.9090909090909092, 'X', 0.9015151515151516]	61.05714646146083	33.75443262411347	19.212816954711744
Q5VYJ5	0.7184081789699336	0.6442863864057786	0.4855072463768116	[0.4782608695652174, 0.5434782608695652, 'X', 0.43478260869565216]	77.7180783817952	67.66390833863781	33.59671302149178
Q5VYJ5	0.7184081789699336	0.6442863864057786	0.532608695652174	[0.5543478260869565, 0.5217391304347826, 'X', 0.5217391304347826]	67.66750948166877	58.62507956715468	29.10872313527181
Q5VY43	0.852965038816813	0.7001416478940543	0.9269005847953217	[0.9298245614035088, 0.9298245614035088, 'X', 0.9210526315789472]	62.11285532456513	18.67704280155642	8.145948239287229
Q8TD46	0.6249312052834343	0.5382986996155009	0.8312236286919831	[0.9746835443037974, 0.5316455696202531, 'X', 0.9873417721518988]	27.82608695652174	13.651877133105803	8.695652173913043
Q8NGG0	0.8916058916058917	0.8881330309901738	0.6507936507936508	[0.9047619047619048, 0.6190476190476191, 'X', 0.42857142857142855]	89.1891891891892	88.57142857142857	83.78378378378379
P48995	0.9218384890775398	0.8950261259469526	0.9342723004694836	[0.9295774647887324, 0.9295774647887324, 'X', 0.943661971830986]	78.23439878234399	69.06290115532734	40.94368340943683
